88977492,BITS OF STOCK,No,0,
88977367,3 BROWN GIRLS BEAUTY CO.,No,0,
88977319,SEED,No,0,
88977222,HERD STOP,No,0,
88977176,PROPULSION,No,0,
88976143,HOMEX,Yes,20,"IC 009. Rotary converters; phase shifters for communication apparatus; telephone apparatus; wire-based communication machines and apparatus, namely, telephone apparatus and receivers; open-wire transmission machines and apparatus for telecommunication; broadcasting machines and apparatus, namely, cable broadcasting machines and apparatus; radio communication machines and apparatus, namely, walkie talkies; radio machines and apparatus, namely, radio pagers, radio receivers and transmitters; remote control telemetering machines and instruments; audio frequency devices and apparatus, namely, audio-frequency transformers; video frequency devices and apparatus, namely, video cameras, camcorders, videodisc players, videodisc recorders, digital video players, digital video recorders, digital video disc players, and digital video disc recorders; parts and accessories for telecommunication machines and apparatus, namely, electric capacitors, electric resistors, electrical transformers; computers and their peripherals; electrostatic copying machines; electronic desk calculators; downloadable electronic dictionaries; word processors; electron tubes; semi-conductor elements, namely, semi-conductor memories and memory units; electronic circuits; photographic machines and apparatus in the nature of photographic cameras and accessories therefor, namely, camera tripods, camera monopods, camera shutters, self-timers for cameras, film magazines for cameras, lens filters for cameras, straps for cameras; cinematographic machines and apparatus; optical machines and apparatus, namely, optical code readers; spectacles; 3D spectacles; satellite receiving apparatus being satellite receivers; downloadable electronic publications in the nature of ebooks in the field of math, science, medical, music, art, literature, culture and cooking; cameras; digital photo frames; dry cells; rechargeable batteries; electrical adapters; bathroom scales; pedometers; electric calorie consumption measuring apparatus, namely, wearable computers in the nature of smartwatches for tracking calorie intake; electronic measuring apparatus for exercise intensity, namely, wearable activity tracker; electrical terminal blocks for televisions; chargers for electric batteries; flash lamps for cameras; digital still cameras; apparatus for reproduction of sound; radio receivers; audio cassette players and recorders; optical disk players and recorders; optical disc drives and their parts; lens cleaning disk for optical disk players; hard disk media players and hard disk recorders; cd players; portable audio players; MP3 players; audio speakers; parts for audio speakers, namely, subwoofers; stereo tuners; audio amplifiers; power amplifiers; microphones; non-slip mats specially adapted for turntables being record players; digital voice recorders; digital sound processors; headphones; earphones; stereo components, namely, amplifiers, cables, receivers, tuners; audio mixers; magnetic head cleaners; magnetic tape cleaners; machines and apparatus for the reproduction, recordal of sound and images; television receivers; plasma display panels; LCD large-screen displays; LCD display panels; antennas; video tuners being television tuners; LCD projectors; video tape recorders; video tape players; video cameras; camcorders; video surveillance cameras; DVD video recorders; DVD video players; audio speakers for home theater systems; playing devices for home theater systems, namely, DVD players; remote controllers for machines and apparatus for the reproduction, recordal of sound and images; video encoders; head cleaning tapes for video recorders; head cleaning tapes for audio cassette recorders; organic electro-luminescent (EL) displays
IC 042. Consultancy relating to design, programming and maintenance of computer software; computer software design; creating and maintaining web sites for others; hosting the websites of others on a computer server for a global computer network; maintenance of computer software; monitoring of computer systems by remote access to ensure proper functioning; rental of computer software; consultancy in the field of design and development of hardware and software for connection to, management of, operating and using computer networks; software as a service (SAAS) services featuring online application software for use in database management; providing a web hosting platform for electronic commerce; technical support relating to the design, programming and maintenance of software, namely, troubleshooting of computer software problems; technical support relating to the design, programming and maintenance of software, namely, 24/7 monitoring of network systems and notification of related events and alerts; design, programming and maintenance of computer programs for electronic calculators; designing of machines, apparatus, instruments or systems composed of such machines, apparatus and instruments; design and development of computer hardware; testing the functionality of machines and research on machines
"
88975620,PHARMACYOS,No,0,
88868162,BARCLAY DAMON,No,0,
88859377,BOLSTER,Yes,20,"IC 009. Computer hardware; Downloadable computer software using artificial intelligence for ??detecting, monitoring, and preventing network security risks and privacy risks?; Downloadable computer software for network security
IC 042. Computer security services, namely, restricting unauthorized network access by users without credentials; Computer security services, namely, restricting unauthorized network access by monitoring and reporting on cyber-threats for others; Computer security threat analysis for protecting data; Design and development of electronic data security systems; Design and implementation of software and technology solutions for the purpose of product and document authentication and tracking, and brand monitoring and protection, to protect against counterfeiting, tampering, and diversion, and to ensure the integrity of genuine products and documents; Providing temporary use of on-line non-downloadable software for use in the detection and prevention of online fraud and for credit card fraud detection; Software as a service (SAAS) services featuring software for use by others featuring software for detecting, monitoring, and preventing network security risks and privacy risks; Software as a service (SAAS) services featuring software for use by others featuring software for protecting and securing websites; Software as a service (SAAS) services featuring software for use by others featuring software for preventing network attacks and network security breaches
IC 045. Anti-counterfeiting consulting in the fields of product and document authentication and tracking, and brand monitoring and protection, to protect against counterfeiting, tampering, and diversion, and to ensure the integrity of genuine products and documents
"
88852993,KAPA EVOPREP,No,0,
88852976,KAPA HYPERPLEX,No,0,
88852913,KAPA HYPERPETE,No,0,
88852889,KAPA EVOPLUS,No,0,
88848080,WE VEGAS,No,0,
88847966,WE LAS VEGAS,No,0,
